"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FE","FirstEnergy Corp.","27.94","$15.15B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/fe",
"FIT","Fitbit, Inc.","6.46","$1.74B","2015","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/fit",
"FPH","Five Point Holdings, LLC","4.97","$737.12M","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/fph",
"FVRR","Fiverr International Ltd.","116.96","$4.11B","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/fvrr",
"FBC","Flagstar Bancorp, Inc.","31.82","$1.81B","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fbc",
"DFP","Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.","26.43","$506.71M","2013","n/a","n/a","https://old.nasdaq.com/symbol/dfp",
"PFD","Flaherty & Crumrine Preferred and Income Fund Inco","16.32","$184.01M","1991","n/a","n/a","https://old.nasdaq.com/symbol/pfd",
"PFO","Flaherty & Crumrine Preferred and Income Opportuni","11.98","$151.75M","1992","n/a","n/a","https://old.nasdaq.com/symbol/pfo",
"FFC","Flaherty & Crumrine Preferred and Income Securitie","21.5","$956.48M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ffc",
"FLC","Flaherty & Crumrine Total Return Fund Inc","21.53","$215.11M","2003","n/a","n/a","https://old.nasdaq.com/symbol/flc",
"FLT","FleetCor Technologies, Inc.","242.35","$20.37B","2010","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/flt",
"FLNG","FLEX LNG Ltd.","5.6498","$305.71M","2019","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/flng",
"FND","Floor & Decor Holdings, Inc.","72.62","$7.53B","2017","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/fnd",
"FTK","Flotek Industries, Inc.","2.39","$170.42M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ftk",
"FLO","Flowers Foods, Inc.","25.03","$5.3B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/flo",
